file_hash,original_filename
1084ea84c5cdd21e24688f06a720c0fd5aa705e7ef4beb866c03902f5a26e9e2,Critical Entity Resilience (CER).pdf
c7a4d41fa647f9112e6f12bee2fde21bfe5e20080ba9e21b6a4f3e5b3bd04702,Medical Device Regulation (MDR).pdf
df97719f4f59be996e6a6d4a0e907f4e26666d1339ed5dc8020781f9ae4bb331,High Level Summary of the AI Act.pdf
82cd69d106cb86de99571a6a01c57a5e11f1bfa3b2f32c0c3365b14c3a2aceb8,NIS2 Directive.pdf
0d937061a030179625697cc163ac8117aa422742660590496be7387f671f39e6,Policy för säkerhet och beredskap 2025-2029.pdf
da89ba6c95c2695f4953c3c96110f88e7f589548bb95d7e7d839bca4051fe565,Protective Security Act.pdf
51536d3804f4176f373604075ec756016064efc936467cfa0e6b32f32e36860c,ISO 27002.pdf
c081addcf014296d6e16c36f25493cca50a48724d927a81ce2a6d6ad9689cb33,Kontinuitetshantering av IS-IT-tjänst - Regional rutin 2025-2029.pdf
d1ef9e95b07a49a5394941e22ddcf3d4c3c305e69b66efb781e1e5ec20872dfb,EU AI Act.pdf
2baeb29e8a47765809ee548bff7b1f4fd6cab2e5d950cc9c944762a2a4bb6fb4,Commission Guidelines on AI Prohibitions.pdf
